01	00	北京
09	01	15	藁城
09	01	10	无极
09	06	廊坊
09	06	02	固安
09	06	03	永清
09	06	01	廊坊
09	06	06	文安
09	06	07	大厂
09	06	04	香河
09	06	05	大城
09	06	08	霸州
09	06	09	三河
09	07	沧州
09	07	02	青县
09	07	03	东光
09	07	13	黄骅
09	07	01	沧州
09	07	06	肃宁
09	07	07	南皮
09	07	04	海兴
09	07	05	盐山
09	07	08	吴桥
09	07	09	献县
09	07	16	沧县
09	07	12	任丘
09	07	14	河间
09	07	11	泊头
09	07	10	孟村
09	04	承德
09	04	02	承德
09	04	03	承德县
09	04	06	滦平
09	04	07	隆化
09	04	04	兴隆
09	04	05	平泉
09	04	08	丰宁
09	04	09	宽城
09	04	10	围场
09	05	唐山
09	05	02	丰南
09	05	03	丰润
09	05	01	唐山
09	05	06	乐亭
09	05	07	迁西
09	05	04	滦县
09	05	05	滦南
09	05	08	玉田
09	05	09	唐海
09	05	12	曹妃甸
09	05	11	迁安
09	05	10	遵化
09	08	衡水
09	08	02	枣强
09	08	03	武邑
09	08	01	衡水
09	08	06	安平
09	08	07	故城
09	08	04	武强
09	08	05	饶阳
09	08	08	景县
09	08	09	阜城
09	08	11	深州
09	08	10	冀州
09	09	邢台
09	09	02	临城
09	09	10	新河
09	09	13	威县
09	09	01	邢台
09	09	06	隆尧
09	09	07	南和
09	09	04	内丘
09	09	05	柏乡
09	09	18	任县
09	09	08	宁晋
09	09	09	巨鹿
09	09	16	南宫
09	09	12	平乡
09	09	17	沙河
09	09	11	广宗
09	09	15	临西
09	09	14	清河
09	11	秦皇岛
09	11	02	青龙
09	11	03	昌黎
09	11	01	秦皇岛
09	11	06	北戴河
09	11	04	抚宁
09	11	05	卢龙
09	10	邯郸
09	10	02	峰峰
09	10	03	临漳
09	10	13	馆陶
09	10	01	邯郸
09	10	06	涉县
09	10	07	磁县
09	10	04	成安
09	10	05	大名
09	10	08	肥乡
09	10	09	永年
09	10	16	武安
09	10	12	广平
09	10	14	魏县
09	10	11	鸡泽
09	10	15	曲周
09	10	10	邱县
10	02	大同
10	02	02	阳高
10	02	03	大同县
10	02	01	大同
10	02	06	灵丘
10	02	07	浑源
10	02	04	天镇
10	02	05	广灵
10	02	08	左云
10	03	阳泉
10	03	02	盂县
10	03	03	平定
10	03	01	阳泉
10	01	太原
10	01	02	清徐
10	01	03	阳曲
10	01	01	太原
10	01	06	尖草坪区
10	01	07	小店区
10	01	04	娄烦
10	01	05	古交
10	06	晋城
10	06	02	沁水
10	06	03	阳城
10	06	01	晋城
10	06	06	泽州
10	06	04	陵川
10	06	05	高平
10	07	临汾
10	07	02	曲沃
10	07	03	永和
10	07	13	翼城
10	07	01	临汾
10	07	06	吉县
10	07	07	襄汾
10	07	04	隰县
10	07	05	大宁
10	07	08	蒲县
10	07	09	汾西
10	07	16	安泽
10	07	12	乡宁
10	07	17	古县
10	07	14	侯马
10	07	11	霍州
10	07	15	浮山
10	07	10	洪洞
10	04	晋中
10	04	02	榆次
10	04	03	榆社
10	04	01	晋中
10	04	06	昔阳
10	04	07	寿阳
10	04	04	左权
10	04	05	和顺
10	04	08	太谷
10	04	09	祁县
10	04	12	介休
10	04	11	灵石
10	04	10	平遥
10	05	长治
10	05	02	黎城
10	05	03	屯留
10	05	01	长治
10	05	06	平顺
10	05	07	武乡
10	05	04	潞城
10	05	05	襄垣
10	05	08	沁县
10	05	09	长子
10	05	11	壶关
10	05	10	沁源
10	08	运城
10	08	02	临猗
10	08	03	稷山
10	08	13	平陆
10	08	01	运城
10	08	06	新绛
10	08	07	绛县
10	08	04	万荣
10	08	05	河津
10	08	08	闻喜
10	08	09	垣曲
10	08	12	夏县
10	08	11	芮城
10	08	10	永济
10	09	朔州
10	09	02	平鲁
10	09	03	山阴
10	09	01	朔州
10	09	06	怀仁
10	09	04	右玉
10	09	05	应县
10	11	吕梁
10	11	02	临县
10	11	03	兴县
10	11	00	吕梁
10	11	01	离石
10	11	06	石楼
10	11	07	方山
10	11	04	岚县
10	11	05	柳林
10	11	08	交口
10	11	09	中阳
10	11	13	交城
10	11	12	文水
10	11	11	汾阳
10	11	10	孝义
10	10	忻州
10	10	02	定襄
10	10	03	五台县
10	10	13	岢岚
10	10	01	忻州
10	10	06	神池
10	10	07	宁武
10	10	04	河曲
10	10	05	偏关
10	10	08	代县
10	10	09	繁峙
10	10	12	静乐
10	10	14	五寨
10	10	11	保德
10	10	15	原平
10	10	10	五台山
11	02	咸阳
11	02	02	礼泉
11	02	03	永寿
11	02	00	咸阳
11	02	01	三原
11	02	06	武功
11	02	07	乾县
11	02	04	淳化
11	02	05	泾阳
11	02	08	彬县
11	02	09	长武
11	02	11	兴平
11	02	10	旬邑
11	03	延安
11	03	02	延川
11	03	03	子长
11	03	00	延安
11	03	01	延长
11	03	06	志丹
11	03	07	安塞
11	03	04	宜川
11	03	05	富县
11	03	08	甘泉
11	03	09	洛川
11	03	12	吴起
